date,recession
1857-04-01,TRUE
1857-07-01,TRUE
1857-10-01,TRUE
1858-01-01,TRUE
1858-04-01,TRUE
1858-07-01,TRUE
1858-10-01,TRUE
1860-07-01,TRUE
1860-10-01,TRUE
1861-01-01,TRUE
1861-04-01,TRUE
1861-07-01,TRUE
1865-01-01,TRUE
1865-04-01,TRUE
1865-07-01,TRUE
1865-10-01,TRUE
1866-01-01,TRUE
1866-04-01,TRUE
1866-07-01,TRUE
1866-10-01,TRUE
1867-01-01,TRUE
1867-04-01,TRUE
1867-07-01,TRUE
1867-10-01,TRUE
1868-01-01,TRUE
1869-04-01,TRUE
1869-07-01,TRUE
1869-10-01,TRUE
1870-01-01,TRUE
1870-04-01,TRUE
1870-07-01,TRUE
1870-10-01,TRUE
1873-07-01,TRUE
1873-10-01,TRUE
1874-01-01,TRUE
1874-04-01,TRUE
1874-07-01,TRUE
1874-10-01,TRUE
1875-01-01,TRUE
1875-04-01,TRUE
1875-07-01,TRUE
1875-10-01,TRUE
1876-01-01,TRUE
1876-04-01,TRUE
1876-07-01,TRUE
1876-10-01,TRUE
1877-01-01,TRUE
1877-04-01,TRUE
1877-07-01,TRUE
1877-10-01,TRUE
1878-01-01,TRUE
1878-04-01,TRUE
1878-07-01,TRUE
1878-10-01,TRUE
1879-01-01,TRUE
1882-01-01,TRUE
1882-04-01,TRUE
1882-07-01,TRUE
1882-10-01,TRUE
1883-01-01,TRUE
1883-04-01,TRUE
1883-07-01,TRUE
1883-10-01,TRUE
1884-01-01,TRUE
1884-04-01,TRUE
1884-07-01,TRUE
1884-10-01,TRUE
1885-01-01,TRUE
1885-04-01,TRUE
1887-04-01,TRUE
1887-07-01,TRUE
1887-10-01,TRUE
1888-01-01,TRUE
1890-07-01,TRUE
1890-10-01,TRUE
1891-01-01,TRUE
1891-04-01,TRUE
1893-01-01,TRUE
1893-04-01,TRUE
1893-07-01,TRUE
1893-10-01,TRUE
1894-01-01,TRUE
1894-04-01,TRUE
1895-10-01,TRUE
1896-01-01,TRUE
1896-04-01,TRUE
1896-07-01,TRUE
1896-10-01,TRUE
1897-01-01,TRUE
1897-04-01,TRUE
1899-07-01,TRUE
1899-10-01,TRUE
1900-01-01,TRUE
1900-04-01,TRUE
1900-07-01,TRUE
1900-10-01,TRUE
1902-10-01,TRUE
1903-01-01,TRUE
1903-04-01,TRUE
1903-07-01,TRUE
1903-10-01,TRUE
1904-01-01,TRUE
1904-04-01,TRUE
1904-07-01,TRUE
1907-04-01,TRUE
1907-07-01,TRUE
1907-10-01,TRUE
1908-01-01,TRUE
1908-04-01,TRUE
1910-01-01,TRUE
1910-04-01,TRUE
1910-07-01,TRUE
1910-10-01,TRUE
1911-01-01,TRUE
1911-04-01,TRUE
1911-07-01,TRUE
1911-10-01,TRUE
1913-01-01,TRUE
1913-04-01,TRUE
1913-07-01,TRUE
1913-10-01,TRUE
1914-01-01,TRUE
1914-04-01,TRUE
1914-07-01,TRUE
1914-10-01,TRUE
1918-07-01,TRUE
1918-10-01,TRUE
1919-01-01,TRUE
1920-01-01,TRUE
1920-04-01,TRUE
1920-07-01,TRUE
1920-10-01,TRUE
1921-01-01,TRUE
1921-04-01,TRUE
1921-07-01,TRUE
1923-04-01,TRUE
1923-07-01,TRUE
1923-10-01,TRUE
1924-01-01,TRUE
1924-04-01,TRUE
1924-07-01,TRUE
1926-07-01,TRUE
1926-10-01,TRUE
1927-01-01,TRUE
1927-04-01,TRUE
1927-07-01,TRUE
1927-10-01,TRUE
1929-07-01,TRUE
1929-10-01,TRUE
1930-01-01,TRUE
1930-04-01,TRUE
1930-07-01,TRUE
1930-10-01,TRUE
1931-01-01,TRUE
1931-04-01,TRUE
1931-07-01,TRUE
1931-10-01,TRUE
1932-01-01,TRUE
1932-04-01,TRUE
1932-07-01,TRUE
1932-10-01,TRUE
1933-01-01,TRUE
1937-04-01,TRUE
1937-07-01,TRUE
1937-10-01,TRUE
1938-01-01,TRUE
1938-04-01,TRUE
1945-01-01,TRUE
1945-04-01,TRUE
1945-07-01,TRUE
1945-10-01,TRUE
1948-10-01,TRUE
1949-01-01,TRUE
1949-04-01,TRUE
1949-07-01,TRUE
1949-10-01,TRUE
1953-04-01,TRUE
1953-07-01,TRUE
1953-10-01,TRUE
1954-01-01,TRUE
1954-04-01,TRUE
1957-07-01,TRUE
1957-10-01,TRUE
1958-01-01,TRUE
1958-04-01,TRUE
1960-04-01,TRUE
1960-07-01,TRUE
1960-10-01,TRUE
1961-01-01,TRUE
1969-10-01,TRUE
1970-01-01,TRUE
1970-04-01,TRUE
1970-07-01,TRUE
1970-10-01,TRUE
1973-10-01,TRUE
1974-01-01,TRUE
1974-04-01,TRUE
1974-07-01,TRUE
1974-10-01,TRUE
1975-01-01,TRUE
1980-01-01,TRUE
1980-04-01,TRUE
1980-07-01,TRUE
1981-07-01,TRUE
1981-10-01,TRUE
1982-01-01,TRUE
1982-04-01,TRUE
1982-07-01,TRUE
1982-10-01,TRUE
1990-07-01,TRUE
1990-10-01,TRUE
1991-01-01,TRUE
2001-01-01,TRUE
2001-04-01,TRUE
2001-07-01,TRUE
2001-10-01,TRUE
2007-10-01,TRUE
2008-01-01,TRUE
2008-04-01,TRUE
2008-07-01,TRUE
2008-10-01,TRUE
2009-01-01,TRUE
2009-04-01,TRUE
2019-10-01,TRUE
2020-01-01,TRUE
2020-04-01,TRUE
